"Designator","Value","Q","Package","Category","Stock","Manufacturer","MPN","Datasheet","Vendor","Link","Unit","Total","MOQ","Description"
"C1, C7, C13, C14, C16, C17, C18, C25, C26, C41, C46, C64, C66, C69, ","0.1uF","14","","","","","","~","","","","0","","C: Unpolarized capacitor"
"C2, C3, ","8pF","2","","","","","","~","","","","0","","C: Unpolarized capacitor"
"C4, C35, C36, C37, C38, C40, C54, C55, C57, C58, C61, C62, C63, C70, C72, C78, C80, C81, C82, C83, C88, ","10uF","21","","","","","","~","","","","0","","C: Unpolarized capacitor"
"C5, C15, C19, C33, C34, C42, C43, C45, C50, C51, C52, C59, C60, C67, C68, C73, C75, ",".1uF","17","","","","","","~","","","","0","","C_Small: Unpolarized capacitor, small symbol"
"C6, C44, C48, C56, ","4.7uF","4","","","","","","~","","","","0","","C_Small: Unpolarized capacitor, small symbol"
"C8, C10, C11, C12, C89, C90, C91, C92, C93, C96, C98, C100, C102, C103, ","22uF","14","","","","","","~","","","","0","","C_Small: Unpolarized capacitor, small symbol"
"C9, C32, C53, C65, ","1uF","4","","","","","","~","","","","0","","C_Small: Unpolarized capacitor, small symbol"
"C20, ","33pF","1","","","","","","~","","","","0","","C_Small: Unpolarized capacitor, small symbol"
"C21, C24, ","33uF","2","","","","","","~","","","","0","","C_Small: Unpolarized capacitor, small symbol"
"C22, C23, ","3.9pF","2","","","","","","~","","","","0","","C: Unpolarized capacitor"
"C27, C29, ","18pF","2","","","","","","~","","","","0","","C: Unpolarized capacitor"
"C28, C31, C87, C94, C97, C99, ","47pF","6","","","","","","~","","","","0","","C: Unpolarized capacitor"
"C30, ","4.7nF","1","","","","","","~","","","","0","","C_Small: Unpolarized capacitor, small symbol"
"C39, ",".001uF","1","","","","","","~","","","","0","","C_Small: Unpolarized capacitor, small symbol"
"C47, C49, ","47nF","2","","","","","","~","","","","0","","C_Small: Unpolarized capacitor, small symbol"
"C71, C85, ","3.3pF","2","","","","","","~","","","","0","","C: Unpolarized capacitor"
"C74, ","1.5pF","1","","","","","","~","","","","0","","C: Unpolarized capacitor"
"C76, ","15pF","1","","","","","","~","","","","0","","C: Unpolarized capacitor"
"C77, ","100pF","1","","","","","","~","","","","0","","C: Unpolarized capacitor"
"C79, ","68pF","1","","","","","","~","","","","0","","C: Unpolarized capacitor"
"C84, ","10nF","1","","","","","","~","","","","0","","C: Unpolarized capacitor"
"C86, C101, ","100nF","2","","","","","","~","","","","0","","C: Unpolarized capacitor"
"C95, ","4.7pF","1","","","","","","~","","","","0","","C_Small: Unpolarized capacitor, small symbol"
"D1, ","SMAJ22CA","1","","","","","","https://www.littelfuse.com/media?resourcetype=datasheets&itemid=75e32973-b177-4ee3-a0ff-cedaf1abdb93&filename=smaj-datasheet","","","","0","","SMAJ5.0CA: 400W bidirectional Transient Voltage Suppressor, 5.0Vr, SMA(DO-214AC)"
"D2, ","BZT52C10T-7","1","","","","","","https://assets.nexperia.com/documents/data-sheet/BZV55_SER.pdf","","","","0","","BZV55B10: 10V, 500mW, 2%, Zener diode, MiniMELF"
