"#","Reference","Value","Footprint","Qty","Tolerance","Voltage","Wattage","Current","Frequency","Dielectric","Datasheet","Cost @ 10000","Total Gross"
"1","C2, C6, C8, C9, C10, C11, C12, C15, C16, C27, C28, C29, C30, C31, C41, C53, C54, C67, C70, C84, ","10uF","0603","20","10%","10V","","","","X5R","https://www.mouser.com/ProductDetail/Samsung-Electro-Mechanics/CL21A106KPFNNNF?qs=sGAEpiMZZMvsSlwiRhF8qvCY8MbTG5UFJYR%252BXUqRvvk%3D","$0.014","$0.2800"
"2","C4, C46, C47, C48, C49, C60, C61, C64, C75, C78, C85, C88, ","22uF","0805","12","10%","6.3V","","","","X5R","https://www.mouser.com/ProductDetail/Samsung-Electro-Mechanics/CL21A226KQCLRNC?qs=sGAEpiMZZMvsSlwiRhF8qtsGU%2FCnaNeQmIID3UIu%252BEeNTVn%252BpD%252BSrQ%3D%3D","$0.016","$0.1920"
"3","C5, C14, C17, C18, C19, C20, C25, C26, C33, C35, C36, C38, C39, C42, C43, C44, C45, C51, C52, C55, C56, C57, C59, C65, C80, C81, C82, ",".1uF","0402","27","10%","10V","","","","X7R","https://www.mouser.com/ProductDetail/KEMET/C0402C104K8RAC7867?qs=sGAEpiMZZMvsSlwiRhF8qhbRD3%252BabvWDsk5tjY%2FaDAQ%3D","$0.005","$0.1350"
"4","C7, C32, ","1uF","0402","2","10%","10V","","","","X5R","https://www.mouser.com/ProductDetail/Murata-Electronics/GRT155R61A105KE01D?qs=sGAEpiMZZMvsSlwiRhF8qkksfik7SoJnPrD9cldLAcdHQLn9MAwlDg%3D%3D","$0.008","$0.0160"
"5","C13, C62, C83, ","4.7uF","0603","3","10%","10V","","","","X5R","https://www.mouser.com/ProductDetail/Samsung-Electro-Mechanics/CL10A475KP8NNNC?qs=sGAEpiMZZMvsSlwiRhF8qiamir66WTSkUH4%2F6MbounU%3D","$0.007","$0.0210"
"6","C21, C24, ","4.3pF","0402","2","0.25 pF","50V","","","","C0G","https://www.mouser.com/ProductDetail/Murata-Electronics/GRM1555C1H4R3CA01D?qs=sGAEpiMZZMvsSlwiRhF8qsFd4y9KDmW3M%2FTFzeqNcIQ%3D","$0.004","$0.0080"
"7","C22, C23, ",".047uF","0402","2","10%","50V","","","","X7R","https://www.mouser.com/ProductDetail/Murata-Electronics/GRT155R71H473KE01D?qs=sGAEpiMZZMvsSlwiRhF8qkksfik7SoJnqSEsULPZ8wf8qvnt6Ajaew%3D%3D","$0.006","$0.0120"
"8","C34, C37, ","33uF","0805","2","20%","10V","","","","X5R","https://www.mouser.com/ProductDetail/TDK/C2012X5R1A336M125AC?qs=sGAEpiMZZMvsSlwiRhF8qglhG%252BcX4lmRtvN2oQS8xN8%3D","$0.229","$0.4580"
"9","C40, ","33pF","0402","1","2%","10V","","","","C0G","https://www.mouser.com/ProductDetail/Murata-Electronics/GRM1555C1H330GA01J?qs=sGAEpiMZZMvsSlwiRhF8qsFd4y9KDmW3cYEQMkZ6okM%3D","$0.009","$0.0090"
"10","C50, ","4.7uF","0805","1","20%","35V","","","","X5R","https://www.mouser.com/ProductDetail/Murata-Electronics/GRM219R6YA475MA73D?qs=sGAEpiMZZMvsSlwiRhF8qkiTYLEsVA3RFhYRJpX282Y%3D","$0.032","$0.0320"
"11","C58, ","4.7pF","0402","1","","16V","","","","C0G","https://www.mouser.com/ProductDetail/KYOCERA-AVX/0402YA4R7KAT2A?qs=sGAEpiMZZMvsSlwiRhF8qp4oH3Zhw9UOSdHCb2Q%2FHxw%3D","$0.004","$0.0040"
"12","C63, ","3.3pF","0402","1",".25pF","50V","","","","C0G","https://www.mouser.com/ProductDetail/KEMET/C0402C339C5GAC7411?qs=dlZGnz1O2nc3imblEjLRgw%3D%3D","$0.008 ","$0.0080"
"13","C68, C71, C74, C77, ","47pF","0402","4","5%","50V","","","","C0G","https://www.mouser.com/ProductDetail/KEMET/C0402C470J5GAC?qs=sGAEpiMZZMvsSlwiRhF8qtKev7nvVKum6qmb8s318x0%3D","$0.002","$0.0080"
"14","C69, ","1.5pF","0402","1",".05pF","50V","","","","C0G","https://www.mouser.com/ProductDetail/YAGEO/CQ0402ARNPO9BN1R5?qs=HEu%2FF%2FCqxzKAr6RyMPMX5Q%3D%3D","$0.021","$0.0210"
"15","C72, ","100pF","0402","1","10%","50V","","","","C0G","https://www.mouser.com/ProductDetail/KEMET/C0402C101K5GAC?qs=sGAEpiMZZMvsSlwiRhF8qtKev7nvVKumMa8mVmVWntE%3D","$0.004","$0.0040"
"16","C73, ","15pF","0402","1","5%","50V","","","","C0G","https://www.mouser.com/ProductDetail/KEMET/C0402C150J5GAC?qs=sGAEpiMZZMvsSlwiRhF8qtKev7nvVKumm0Wo2gix0ls%3D","$0.004","$0.0040"
"17","C76, ","68pF","0402","1","5%","25V","","","","C0G","https://www.mouser.com/ProductDetail/YAGEO/CC0402JRNPO8BN680?qs=sGAEpiMZZMvsSlwiRhF8qtVFUj6yLw9vCYB2E4xTUNw%3D","$0.003","$0.0030"
"18","C79, ",".01uF","0402","1","10%","25V","","","","X7R","https://www.mouser.com/ProductDetail/KEMET/C0402C103K3RAC?qs=sGAEpiMZZMvsSlwiRhF8qiMTmdXfsXFs%2F3aTT%252Bx0NKY%3D","$0.003","$0.0030"
"19","D1, ","SMAJ5.0CA","SMA","1","","5V","","","","","https://www.mouser.com/ProductDetail/Micro-Commercial-Components-MCC/BZT52C33-TP?qs=ZNK0BnemlqGtD9%252B4BIqTnA%3D%3D","$0.016","$0.0160"
"20","D2, ","DDZ33DSF-7","SOD323F","1","","33V","","500mW","","","https://www.mouser.com/ProductDetail/Diodes-Incorporated/DDZ33DSF-7?qs=gfe7vQ8txpXtMnUGFkFwhg%3D%3D","$0.016","$0.0160"
"21","D3, D4, ","MM3Z3V6T1G","SOD-323-2","2","5%","3.6V","","300mW","","","https://www.mouser.com/ProductDetail/onsemi/MM3Z3V6T1G?qs=HVbQlW5zcXWbZo78nv8gqg%3D%3D","$0.019","$0.0380"
"22","D5, ","BZT52C10T-7","SOD-523-2","1","6%","10V","300mW","","","","https://www.mouser.com/ProductDetail/Diodes-Incorporated/BZT52C10T-7?qs=zLeapIUCO8Rasc%2F5ywAkpQ%3D%3D","$0.025","$0.0250"
